,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
Patient_ID,P-0016174_3756023_347883,P-0004271_3687859_347923,P-0027713_3756068_348008,P-0030125_3756001_348064,P-0012894_3369264_191166,P-0024561_3756282_348032,P-0034908_581421_347999,P-0014328_4289832_347970,P-0027673_3756305_348039,P-0018078_4289817_347991,P-0027133_2215102_348042,P-0004588_3578868_190747,P-0019262_4289868_347985,P-0013653_453907_190430,P-0025245_877691_347976,P-0013719_3369521_190836,P-0014065_3369610_191079,P-0018197_3369855_190794,P-0026121_3369596_190361,P-0022808_685813_348017,P-0032182_3756135_348067,P-0008422_987842_190516,P-0014451_3756109_347953,P-0010514_3369510_190734,P-0026958_959478_348049,P-0016185_3369766_191085,P-0014319_3687322_347969,P-0035638_3687766_348028,P-0027455_988311_191052,P-0024764_4289925_348034,P-0021291_565806_347988,P-0018179_4289840_347956,P-0011537_3756249_347952,P-0029465_1049320_347972,P-0025354_3687759_348026,P-0014207_3369752_190626,P-0022301_682887_191113,P-0022291_2359747_347986,P-0017048_3687847_347981,P-0016175_3343292_347879,P-0021375_3756290_348007,P-0026552_4289913_190866,P-0017184_3687742_347917,P-0025598_4289870_348036,P-0022033_3687897_348016,P-0010507_3756254_347882,P-0010063_3369815_191036,P-0023926_3756140_348025,P-0010980_3687687_347951,P-0029593_3687377_348063,P-0020643_679972_190960,P-0021231_645588_348006,P-0023014_4289834_348018,P-0009110_3687829_190830,P-0017253_3369634_190533,P-0028173_3756072_348047,P-0021442_3756144_190988,P-0026289_935685_190549,P-0002794_3687335_347919,P-0015749_3369650_190826,P-0023464_3369827_191203,P-0013406_459288_347960,P-0027733_3369798_191026,P-0015937_490063_190764,P-0006607_3369379_191138,P-0028723_3369223_190762,P-0030654_1065326_348066,P-0019599_597881_347990,P-0039832_3687381_348069,P-0031665_3687783_348054,P-0027726_4346318_347977,P-0020422_3756262_347983,P-0012090_4343300_347937,P-0022001_3369480_190916,P-0017484_554968_347989,P-0029975_4289971_348060,P-0015296_499921_190883,P-0024980_982742_348033,P-0015950_524041_190346,P-0031112_679967_190876,P-0020347_3369672_190670,P-0045298_3687318_348059,P-0009476_3756012_347943,P-0027855_3755985_348052,P-0020140_3369277_190910,P-0006768_4289946_347905,P-0018366_3687864_347955,P-0022949_718022_190435,P-0024467_3756362_348014,P-0015075_3687726_347878,P-0015348_4290238_347966,P-0025465_1080598_348038,P-0021797_679930_190439,P-0014764_4289819_347968,P-0031727_987037_347893,P-0023598_4289933_348024,P-0018763_3690195_347992,P-0032126_4290019_348002,P-0014885_489997_190689,P-0014285_642622_190908,P-0033978_955209_191087,P-0025917_4289872_190757,P-0014061_3756089_347914,P-0033979_3756240_347897,P-0006071_3756192_190371,P-0010927_704652_190939,P-0016016_514599_190678,P-0021034_679437_347876,P-0018722_3369564_191129,P-0021470_627662_347910,P-0027259_4289968_348051,P-0027343_3687770_348040,P-0023023_3369314_190846,P-0007493_3369397_190323,P-0002485_3369204_190464,P-0023408_4289948_348005,P-0015529_3687736_347873,P-0023779_3687755_347868,P-0014293_3756102_347964,P-0003551_3756130_347921,P-0009017_3687836_347912,P-0021094_4289907_348009,P-0027742_3687775_348050,P-0026574_3687340_190659,P-0032455_3687807_348062,P-0013656_3369367_191007,P-0019098_3687415_347998,P-0025018_3756036_348011,P-0023902_3369540_190647,P-0006663_3393878_190922,P-0018511_4290937_347911,P-0011260_3687711_347942,P-0017735_3687871_347979,P-0022377_3369583_190420,P-0019804_4584939_190630,P-0017781_3687358_347982
sex,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,1,2,2,2,1,2,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2,1,2,1,1,2,1,2,2,2,2,1,2,1,1,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,1,2,1
age,72,38,73,66,58,68,76,61,71,68,58,73,53,69,43,68,53,66,70,75,62,69,64,63,73,72,73,72,72,74,56,69,70,56,60,78,76,68,64,76,68,66,69,58,71,83,73,69,75,75,65,55,69,54,66,71,66,58,61,68,79,69,86,73,61,65,75,73,75,71,66,67,79,67,80,65,67,64,60,64,53,74,58,81,72,66,48,61,76,59,62,67,38,67,84,67,83,77,54,62,51,62,74,71,53,67,82,73,44,47,69,93,63,76,43,64,76,74,88,50,77,69,62,76,64,55,56,78,52,64,74,47,66,63,69,80
smoking_status,0,0,1,2,2,0,2,2,1,2,1,1,2,1,1,0,2,2,2,0,2,1,1,1,1,1,1,0,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,0,1,2,1,2,2,1,1,1,2,1,1,1,2,1,1,0,1,0,0,1,1,1,1,1,2,1,1,0,1,2,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,0,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,2,2,1,1
ecog,0,0,1,1,1,1,2,0,2,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,2,1,1,0,0,2,1,1,1,0,1,1,1,0,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,2,1,1,1,1,1
albumin,3.8,4.1,3.4,3.8,4.1,4.1,3.8,3.1,3.2,3.4,4.1,4.1,4.2,4,4.3,3.9,3.9,3.8,2.7,3.9,4.1,3.9,3.9,3.4,3.2,3.1,3.5,3.4,3.3,3.8,3.8,3,3.9,3.9,4.2,3.2,3,3.9,2.4,2.9,3.4,3.4,3.8,4,3.4,4.3,4.1,2.8,4.3,3.5,3.9,3.6,3.5,3.7,3.3,3.9,3.4,4.1,4.2,3.6,3.1,2.5,3.5,3.2,4.3,3.4,3.6,2.5,3.4,3.2,3.7,3.8,3.8,3.4,3.5,4.2,3.8,4.4,4.4,3.3,3.5,3.6,3.3,4.1,3.7,4.2,4.3,3.7,3.8,3.1,3.3,4,4.2,3.6,4.3,3.5,3.6,3.5,3.9,4.1,3.9,3.3,4,3,4.3,4.1,4.1,3.5,3.6,3.8,3,3.3,4.1,4,4.7,3.5,3.3,3.2,3.7,4,3.6,3.6,3.6,3.2,3.9,4.5,3.9,3.1,3.6,4.2,3.4,3.4,2.6,3.6,4.3,3.8
dnlr,2.8,1,2.5,1.7,4,2.4,1.8,2.3,2.9,1.6,2.3,1.7,4.6,2.4,2.8,1.2,1,2.9,4.9,4.7,6.3,3.3,1.7,0.9,1.9,2,5.7,4.9,3.8,1.8,1.6,2.5,2,0.8,1.4,3.9,2,1.5,3.5,8.4,2.3,2.3,4.7,2.3,1.5,1.2,1.7,2.6,4.5,0.9,3.9,2.5,4.8,3.3,4.4,2.4,1.6,1.7,3.3,0.7,3.5,6.5,2.3,4.8,2.3,2.4,2.2,1.6,1.6,2.9,2.4,2.1,4.2,7.5,3.1,1,1.9,7.9,1.6,1.6,1.9,1.9,6.5,3.5,1.4,3.8,0.9,2.3,1.3,6.2,4.1,5.4,1.2,6.6,2,0.5,2.7,13.4,2.1,2.4,1.9,13.8,1.9,5.1,1.1,2.2,2.6,6.9,6.8,2.5,6,2.1,2.9,1.8,2.4,3.7,2.1,0.9,2.4,1.7,3.5,6,1.5,2.7,2,2.5,4.1,3.7,0.6,2.9,7.4,2.5,4.3,1.9,0.8,1.1
os_int,27.6,,,10.7,5.2,6.8,,0.8,,6.4,1.9,,5.8,,6.2,17.9,,,8.3,3.6,,,7.5,,,9.1,4.3,8,,,,23.5,,,,3.6,3.9,8.1,0.4,1.4,1,,0.5,5.8,8,,19.4,0.8,12.2,,,3.7,1.3,,,3.4,2.5,,,12.6,8.4,0.6,15.6,33.3,,,5.1,0.5,,6,,2.9,0.8,6.6,,,,2.5,,21.5,3.9,,0.7,2.9,5.5,28.4,23.9,,,11.3,17.2,,,1.5,,,,10.6,,,,4.4,,,21.8,,6.2,,,15.2,1.9,0.1,,,24.2,1,1.9,1.6,,,,1.8,10.1,,,4.7,,1.5,7,,1.9,1.5,23.6,5,,1.5
histo,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1
mono_combo,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
io_drug,Nivolumab,Atezolizumab,Nivolumab,Nivolumab,Nivolumab,Atezolizumab,Pembrolizumab,Ipilimumab+Nivolumab,Atezolizumab,Pembrolizumab,Pembrolizumab,Nivolumab,Atezolizumab,Durvalumab+Tremelimumab,Pembrolizumab,Atezolizumab,Pembrolizumab,Nivolumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Nivolumab,Pembrolizumab,Pembrolizumab,Nivolumab,Atezolizumab,Nivolumab,Pembrolizumab,Nivolumab,Pembrolizumab,Resection + Ipilimumab+Nivolumab,Pembrolizumab,Nivolumab,Nivolumab,Pembrolizumab,Pembrolizumab,Atezolizumab,Atezolizumab,Nivolumab,Nivolumab,Nivolumab,Nivolumab,Pembrolizumab,Atezolizumab,Nivolumab,Nivolumab,Pembrolizumab,Atezolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Atezolizumab,Nivolumab,Atezolizumab,Nivolumab,Atezolizumab,Pembrolizumab,Nivolumab,Atezolizumab,Atezolizumab,Nivolumab,Pembrolizumab,Pembrolizumab,Ipilimumab+Nivolumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Nivolumab,Pembrolizumab,Atezolizumab,Atezolizumab,Atezolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Ipilimumab+Nivolumab,Pembrolizumab,Atezolizumab,Nivolumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Nivolumab,Pembrolizumab,Pembrolizumab,Atezolizumab,Nivolumab,Nivolumab,Pembrolizumab,Pembrolizumab,Atezolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Nivolumab,Pembrolizumab,Atezolizumab,Nivolumab,Atezolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Pembrolizumab,Nivolumab,Pembrolizumab,Nivolumab,Pembrolizumab,Durvalumab,Nivolumab,Nivolumab,Atezolizumab,Pembrolizumab,Nivolumab,Nivolumab,Atezolizumab,Atezolizumab,Pembrolizumab,Pembrolizumab,Nivolumab,Atezolizumab,Atezolizumab,Nivolumab,Nivolumab,Pembrolizumab,Durvalumab+Tremelimumab,Nivolumab,Atezolizumab,Durvalumab,Nivolumab
pfs_censor,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
EGFR_Status,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
ALK_Status,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ROS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
STK11,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
PD-L1,0,10,0,0,0,0,50,0,0,5,60,80,0,0,75,60,90,0,100,1,90,40,0,90,80,0,0,0,50,0,5,70,30,1,0,40,1,1,0,25,0,0,0,60,0,0,0,10,0,75,10,5,0,0,0,0,0,80,70,0,0,60,80,75,0,100,80,80,90,0,30,0,0,0,50,80,100,100,0,70,0,0,60,2,50,0,20,80,80,0,0,70,60,0,100,30,50,50,90,90,80,0,80,0,0,60,30,90,70,70,5,80,1,95,0,0,0,0,70,0,0,0,0,30,80,50,0,0,0,0,50,50,0,0,15,0
